id,review,sentiment,bio_tagged_review
25,ফেস ওয়াশ সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
26,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
27,ফেস ওয়াশ আমার জন্য সম্পূর্ণ অনুপযুক্ত ছিল।,0,ফেস-B ওয়াশ-I আমার জন্য সম্পূর্ণ অনুপযুক্ত ছিল।
28,ফেস ওয়াশ খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।,2,ফেস-B ওয়াশ-I খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।
29,ডেলিভারি দ্রুত এবং ফেস ওয়াশ নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ফেস-B ওয়াশ-I নিখুঁত অবস্থায় পেয়েছি।
30,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
31,ফেস ওয়াশ এর এক্সপায়ারি ডেট খুবই কম ছিল।,0,ফেস-B ওয়াশ-I এর এক্সপায়ারি ডেট খুবই কম ছিল।
32,ফেস ওয়াশ একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।,2,ফেস-B ওয়াশ-I একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।
33,অনেক ভালো ফেস ওয়াশ। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2,অনেক ভালো ফেস-B ওয়াশ-I। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।
34,প্রোডাক্ট আশানুরূপ। ফেস ওয়াশ নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ফেস-B ওয়াশ-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
35,ফেস ওয়াশ খুবই চিট চিটে এবং ব্যবহার করা যায় না।,0,ফেস-B ওয়াশ-I খুবই চিট চিটে এবং ব্যবহার করা যায় না।
36,বাজারের চেয়ে কম মূল্যে আসল ফেস ওয়াশ পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ফেস-B ওয়াশ-I পেয়েছি।
37,প্রোডাক্ট আশানুরূপ। ফেস ওয়াশ নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ফেস-B ওয়াশ-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
38,ফেস ওয়াশ এর সীল খোলা ছিল। এমনটা আশা ছিল না।,0,ফেস-B ওয়াশ-I এর সীল খোলা ছিল। এমনটা আশা ছিল না।
39,ফেস ওয়াশ অরিজিনাল এবং খাঁটি পণ্য।,2,ফেস-B ওয়াশ-I অরিজিনাল এবং খাঁটি পণ্য।
40,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
41,এটি সেরা ফেস ওয়াশ যা আমি কখনো কিনেছি।,2,এটি সেরা ফেস-B ওয়াশ-I যা আমি কখনো কিনেছি।
42,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
43,ফেস ওয়াশ দীর্ঘদিন টিকে থাকে এবং কার্যকর।,2,ফেস-B ওয়াশ-I দীর্ঘদিন টিকে থাকে এবং কার্যকর।
44,ফেস ওয়াশ অরিজিনাল এবং খাঁটি পণ্য।,2,ফেস-B ওয়াশ-I অরিজিনাল এবং খাঁটি পণ্য।
45,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
46,ফেস ওয়াশ সব বয়সের মানুষের জন্য উপযুক্ত।,2,ফেস-B ওয়াশ-I সব বয়সের মানুষের জন্য উপযুক্ত।
47,খুব খুশি এই ফেস ওয়াশ কিনতে পেরে।,2,খুব খুশি এই ফেস-B ওয়াশ-I কিনতে পেরে।
48,মানের কোন সমস্যা নেই। ফেস ওয়াশ অসাধারণ।,2,মানের কোন সমস্যা নেই। ফেস-B ওয়াশ-I অসাধারণ।
49,"যাই হোক, ফেস ওয়াশ কিছু সাধারণ পণ্য।",1,"যাই হোক, ফেস-B ওয়াশ-I কিছু সাধারণ পণ্য।"
50,খুব খুশি এই ফেস ওয়াশ কিনতে পেরে।,2,খুব খুশি এই ফেস-B ওয়াশ-I কিনতে পেরে।
51,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
52,ফেস ওয়াশ সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
53,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।,2,ফেস-B ওয়াশ-I খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।
54,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।,2,ফেস-B ওয়াশ-I খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।
55,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।,2,ফেস-B ওয়াশ-I খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।
56,মানের কোন সমস্যা নেই। ফেস ওয়াশ অসাধারণ।,2,মানের কোন সমস্যা নেই। ফেস-B ওয়াশ-I অসাধারণ।
57,ফেস ওয়াশ সবার জন্য কিনার মতো নয়। নির্বাচিত মানুষের জন্য।,1,ফেস-B ওয়াশ-I সবার জন্য কিনার মতো নয়। নির্বাচিত মানুষের জন্য।
58,ফেস ওয়াশ এ মশা আর কীটপতঙ্গ ছিল।,0,ফেস-B ওয়াশ-I এ মশা আর কীটপতঙ্গ ছিল।
59,প্রোডাক্ট আশানুরূপ। ফেস ওয়াশ নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ফেস-B ওয়াশ-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
60,ফেস ওয়াশ সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
61,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
62,ফেস ওয়াশ এর সীল খোলা ছিল। এমনটা আশা ছিল না।,0,ফেস-B ওয়াশ-I এর সীল খোলা ছিল। এমনটা আশা ছিল না।
63,ফেস ওয়াশ আমার চর্মে এ্যালার্জি করেছে।,0,ফেস-B ওয়াশ-I আমার চর্মে এ্যালার্জি করেছে।
64,ফেস ওয়াশ খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।,2,ফেস-B ওয়াশ-I খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।
65,ফেস ওয়াশ সব বয়সের মানুষের জন্য উপযুক্ত।,2,ফেস-B ওয়াশ-I সব বয়সের মানুষের জন্য উপযুক্ত।
66,ফেস ওয়াশ র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।,1,ফেস-B ওয়াশ-I র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।
67,এটি সেরা ফেস ওয়াশ যা আমি কখনো কিনেছি।,2,এটি সেরা ফেস-B ওয়াশ-I যা আমি কখনো কিনেছি।
68,বাজারের চেয়ে কম মূল্যে আসল ফেস ওয়াশ পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ফেস-B ওয়াশ-I পেয়েছি।
69,ফেস ওয়াশ ব্যবহার করে আমি খুবই সন্তুষ্ট।,2,ফেস-B ওয়াশ-I ব্যবহার করে আমি খুবই সন্তুষ্ট।
70,ফেস ওয়াশ ব্যবহার করে আমি খুবই সন্তুষ্ট।,2,ফেস-B ওয়াশ-I ব্যবহার করে আমি খুবই সন্তুষ্ট।
71,এত ভালো দামে এমন ফেস ওয়াশ আর দেখিনি।,2,এত ভালো দামে এমন ফেস-B ওয়াশ-I আর দেখিনি।
72,প্রোডাক্ট আশানুরূপ। ফেস ওয়াশ নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ফেস-B ওয়াশ-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
73,ফেস ওয়াশ এ মশা আর কীটপতঙ্গ ছিল।,0,ফেস-B ওয়াশ-I এ মশা আর কীটপতঙ্গ ছিল।
74,ফেস ওয়াশ এর সাথে প্রতিশ্রুত অন্যান্য জিনিস দেওয়া হয়নি।,0,ফেস-B ওয়াশ-I এর সাথে প্রতিশ্রুত অন্যান্য জিনিস দেওয়া হয়নি।
75,মানের কোন সমস্যা নেই। ফেস ওয়াশ অসাধারণ।,2,মানের কোন সমস্যা নেই। ফেস-B ওয়াশ-I অসাধারণ।
76,ফেস ওয়াশ এ প্রথম বার কিনলাম। এখনো ব্যবহার করিনি।,1,ফেস-B ওয়াশ-I এ প্রথম বার কিনলাম। এখনো ব্যবহার করিনি।
77,ফেস ওয়াশ এর গুণমান অত্যন্ত খারাপ।,0,ফেস-B ওয়াশ-I এর গুণমান অত্যন্ত খারাপ।
78,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
79,ফেস ওয়াশ অরিজিনাল এবং খাঁটি পণ্য।,2,ফেস-B ওয়াশ-I অরিজিনাল এবং খাঁটি পণ্য।
80,ফেস ওয়াশ নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।,1,ফেস-B ওয়াশ-I নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।
81,এটি সেরা ফেস ওয়াশ যা আমি কখনো কিনেছি।,2,এটি সেরা ফেস-B ওয়াশ-I যা আমি কখনো কিনেছি।
82,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
83,ফেস ওয়াশ দিতেই পারেনি। এটা গুরুতর সমস্যা।,0,ফেস-B ওয়াশ-I দিতেই পারেনি। এটা গুরুতর সমস্যা।
84,ডেলিভারি দ্রুত এবং ফেস ওয়াশ নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ফেস-B ওয়াশ-I নিখুঁত অবস্থায় পেয়েছি।
85,ফেস ওয়াশ প্যাকেজিং অনুযায়ী নয়। সম্পূর্ণ ভিন্ন পণ্য।,0,ফেস-B ওয়াশ-I প্যাকেজিং অনুযায়ী নয়। সম্পূর্ণ ভিন্ন পণ্য।
86,নিয়মিত ব্যবহার করছি। ফেস ওয়াশ সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ফেস-B ওয়াশ-I সত্যিই দুর্দান্ত।
87,ফেস ওয়াশ দীর্ঘদিন টিকে থাকে এবং কার্যকর।,2,ফেস-B ওয়াশ-I দীর্ঘদিন টিকে থাকে এবং কার্যকর।
88,ফেস ওয়াশ নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।,1,ফেস-B ওয়াশ-I নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।
89,ফেস ওয়াশ সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ফেস-B ওয়াশ-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
90,ফেস ওয়াশ তে বিশেষ কোন বৈশিষ্ট্য নেই।,1,ফেস-B ওয়াশ-I তে বিশেষ কোন বৈশিষ্ট্য নেই।
91,ফেস ওয়াশ খুবই চিট চিটে এবং ব্যবহার করা যায় না।,0,ফেস-B ওয়াশ-I খুবই চিট চিটে এবং ব্যবহার করা যায় না।
92,ফেস ওয়াশ র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।,1,ফেস-B ওয়াশ-I র মান মাঝামাঝি ধরনের। না ভালো না খারাপ।
93,পরিবারের সবাই এই ফেস ওয়াশ পছন্দ করে।,2,পরিবারের সবাই এই ফেস-B ওয়াশ-I পছন্দ করে।
94,নিয়মিত ব্যবহার করছি। ফেস ওয়াশ সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ফেস-B ওয়াশ-I সত্যিই দুর্দান্ত।
95,ফেস ওয়াশ নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।,1,ফেস-B ওয়াশ-I নিয়ে বেশি কিছু বলার নেই। সাধারণ পণ্য।
96,দাম অনুযায়ী অনেক ভালো একটা ফেস ওয়াশ।,2,দাম অনুযায়ী অনেক ভালো একটা ফেস-B ওয়াশ-I।
97,ফেস ওয়াশ এর সাথে প্রতিশ্রুত অন্যান্য জিনিস দেওয়া হয়নি।,0,ফেস-B ওয়াশ-I এর সাথে প্রতিশ্রুত অন্যান্য জিনিস দেওয়া হয়নি।
98,ফেস ওয়াশ দীর্ঘদিন টিকে থাকে এবং কার্যকর।,2,ফেস-B ওয়াশ-I দীর্ঘদিন টিকে থাকে এবং কার্যকর।
99,ফেস ওয়াশ সব বয়সের মানুষের জন্য উপযুক্ত।,2,ফেস-B ওয়াশ-I সব বয়সের মানুষের জন্য উপযুক্ত।
100,ফেস ওয়াশ একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।,2,ফেস-B ওয়াশ-I একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।
101,ডেটল সাবান ব্যবহার করে আমি খুবই সন্তুষ্ট।,2,ডেটল-B সাবান-I ব্যবহার করে আমি খুবই সন্তুষ্ট।
102,এত ভালো দামে এমন ডেটল সাবান আর দেখিনি।,2,এত ভালো দামে এমন ডেটল-B সাবান-I আর দেখিনি।
103,ডেটল সাবান দীর্ঘদিন টিকে থাকে এবং কার্যকর।,2,ডেটল-B সাবান-I দীর্ঘদিন টিকে থাকে এবং কার্যকর।
104,ডেলিভারি দ্রুত এবং ডেটল সাবান নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ডেটল-B সাবান-I নিখুঁত অবস্থায় পেয়েছি।
105,এটি সেরা ডেটল সাবান যা আমি কখনো কিনেছি।,2,এটি সেরা ডেটল-B সাবান-I যা আমি কখনো কিনেছি।
106,ডেটল সাবান আমার জন্য সম্পূর্ণ অনুপযুক্ত ছিল।,0,ডেটল-B সাবান-I আমার জন্য সম্পূর্ণ অনুপযুক্ত ছিল।
107,ডেটল সাবান খুবই চিট চিটে এবং ব্যবহার করা যায় না।,0,ডেটল-B সাবান-I খুবই চিট চিটে এবং ব্যবহার করা যায় না।
108,মানের কোন সমস্যা নেই। ডেটল সাবান অসাধারণ।,2,মানের কোন সমস্যা নেই। ডেটল-B সাবান-I অসাধারণ।
109,ডেটল সাবান এর প্যাকেট ছিঁড়া ছিল। খুবই হতাশাজনক।,0,ডেটল-B সাবান-I এর প্যাকেট ছিঁড়া ছিল। খুবই হতাশাজনক।
110,"যাই হোক, ডেটল সাবান কিছু সাধারণ পণ্য।",1,"যাই হোক, ডেটল-B সাবান-I কিছু সাধারণ পণ্য।"
111,ডেটল সাবান খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।,2,ডেটল-B সাবান-I খুবই ভালো মানের। ব্যবহারেও খুব ভাল ফল পেয়েছি।
112,ডেটল সাবান তে বিশেষ কোন বৈশিষ্ট্য নেই।,1,ডেটল-B সাবান-I তে বিশেষ কোন বৈশিষ্ট্য নেই।
113,খুব খুশি এই ডেটল সাবান কিনতে পেরে।,2,খুব খুশি এই ডেটল-B সাবান-I কিনতে পেরে।
114,নিয়মিত ব্যবহার করছি। ডেটল সাবান সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ডেটল-B সাবান-I সত্যিই দুর্দান্ত।
115,ডেটল সাবান একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।,2,ডেটল-B সাবান-I একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।
116,ডেটল সাবান ব্যবহার করলে বুঝতে পারবো আসলে কেমন।,1,ডেটল-B সাবান-I ব্যবহার করলে বুঝতে পারবো আসলে কেমন।
117,ডেলিভারি দ্রুত এবং ডেটল সাবান নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ডেটল-B সাবান-I নিখুঁত অবস্থায় পেয়েছি।
118,অনেক ভালো ডেটল সাবান। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।,2,অনেক ভালো ডেটল-B সাবান-I। দামও কম পড়েছিলো। সন্তুষ্ট ব্যবহার করে।
119,বাজারের চেয়ে কম মূল্যে আসল ডেটল সাবান পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ডেটল-B সাবান-I পেয়েছি।
120,ডেটল সাবান সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
121,ডেটল সাবান সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
122,বাজারের চেয়ে কম মূল্যে আসল ডেটল সাবান পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ডেটল-B সাবান-I পেয়েছি।
123,ডেটল সাবান সব বয়সের মানুষের জন্য উপযুক্ত।,2,ডেটল-B সাবান-I সব বয়সের মানুষের জন্য উপযুক্ত।
124,ডেটল সাবান খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।,2,ডেটল-B সাবান-I খুব ভালো প্রোডাক্ট। যে কেউ কিনতে পারেন।
125,নিয়মিত ব্যবহার করছি। ডেটল সাবান সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ডেটল-B সাবান-I সত্যিই দুর্দান্ত।
126,ডেটল সাবান দিতেই পারেনি। এটা গুরুতর সমস্যা।,0,ডেটল-B সাবান-I দিতেই পারেনি। এটা গুরুতর সমস্যা।
127,ডেটল সাবান এ কোন গুণমান নেই। শুধু নামেই।,0,ডেটল-B সাবান-I এ কোন গুণমান নেই। শুধু নামেই।
128,ডেটল সাবান এ মশা আর কীটপতঙ্গ ছিল।,0,ডেটল-B সাবান-I এ মশা আর কীটপতঙ্গ ছিল।
129,ডেটল সাবান দীর্ঘদিন টিকে থাকে এবং কার্যকর।,2,ডেটল-B সাবান-I দীর্ঘদিন টিকে থাকে এবং কার্যকর।
130,বাজারের চেয়ে কম মূল্যে আসল ডেটল সাবান পেয়েছি।,2,বাজারের চেয়ে কম মূল্যে আসল ডেটল-B সাবান-I পেয়েছি।
131,ডেটল সাবান খুবই কার্যকর নয়। টাকার অপচয়।,0,ডেটল-B সাবান-I খুবই কার্যকর নয়। টাকার অপচয়।
132,নিয়মিত ব্যবহার করছি। ডেটল সাবান সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ডেটল-B সাবান-I সত্যিই দুর্দান্ত।
133,ডেটল সাবান ব্যবহার করে আমি খুবই সন্তুষ্ট।,2,ডেটল-B সাবান-I ব্যবহার করে আমি খুবই সন্তুষ্ট।
134,ডেটল সাবান আমার চর্মে এ্যালার্জি করেছে।,0,ডেটল-B সাবান-I আমার চর্মে এ্যালার্জি করেছে।
135,নিয়মিত ব্যবহার করছি। ডেটল সাবান সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ডেটল-B সাবান-I সত্যিই দুর্দান্ত।
136,দাম অনুযায়ী অনেক ভালো একটা ডেটল সাবান।,2,দাম অনুযায়ী অনেক ভালো একটা ডেটল-B সাবান-I।
137,এটি সেরা ডেটল সাবান যা আমি কখনো কিনেছি।,2,এটি সেরা ডেটল-B সাবান-I যা আমি কখনো কিনেছি।
138,পরিবারের সবাই এই ডেটল সাবান পছন্দ করে।,2,পরিবারের সবাই এই ডেটল-B সাবান-I পছন্দ করে।
139,ডেটল সাবান সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।,2,ডেটল-B সাবান-I সবসময়ই আমার প্রত্যাশা পূরণ করে। ধন্যবাদ সেলারকে।
140,ডেটল সাবান সব বয়সের মানুষের জন্য উপযুক্ত।,2,ডেটল-B সাবান-I সব বয়সের মানুষের জন্য উপযুক্ত।
141,পরিবারের সবাই এই ডেটল সাবান পছন্দ করে।,2,পরিবারের সবাই এই ডেটল-B সাবান-I পছন্দ করে।
142,প্রোডাক্ট আশানুরূপ। ডেটল সাবান নিয়ে সম্পূর্ণ সন্তুষ্ট।,2,প্রোডাক্ট আশানুরূপ। ডেটল-B সাবান-I নিয়ে সম্পূর্ণ সন্তুষ্ট।
143,ডেটল সাবান প্রত্যাশা মতো আছে কিনা তা পরে জানতে পারবো।,1,ডেটল-B সাবান-I প্রত্যাশা মতো আছে কিনা তা পরে জানতে পারবো।
144,ডেটল সাবান একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।,2,ডেটল-B সাবান-I একটি চমৎকার পণ্য। উপকার পেলে আবার নেব।
145,"যাই হোক, ডেটল সাবান কিছু সাধারণ পণ্য।",1,"যাই হোক, ডেটল-B সাবান-I কিছু সাধারণ পণ্য।"
146,ডেটল সাবান সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।,2,ডেটল-B সাবান-I সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।
147,ডেটল সাবান আঠা আঠা এবং আশা মতো নয়।,0,ডেটল-B সাবান-I আঠা আঠা এবং আশা মতো নয়।
148,এটি সেরা ডেটল সাবান যা আমি কখনো কিনেছি।,2,এটি সেরা ডেটল-B সাবান-I যা আমি কখনো কিনেছি।
149,ডেটল সাবান সব বয়সের মানুষের জন্য উপযুক্ত।,2,ডেটল-B সাবান-I সব বয়সের মানুষের জন্য উপযুক্ত।
150,এটি সেরা ডেটল সাবান যা আমি কখনো কিনেছি।,2,এটি সেরা ডেটল-B সাবান-I যা আমি কখনো কিনেছি।
151,ডেটল সাবান সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।,2,ডেটল-B সাবান-I সঠিক পণ্যটি হাতে পেয়েছি। একদম সন্তোষজনক।
152,নিয়মিত ব্যবহার করছি। ডেটল সাবান সত্যিই দুর্দান্ত।,2,নিয়মিত ব্যবহার করছি। ডেটল-B সাবান-I সত্যিই দুর্দান্ত।
153,পরিবারের সবাই এই ডেটল সাবান পছন্দ করে।,2,পরিবারের সবাই এই ডেটল-B সাবান-I পছন্দ করে।
154,ডেলিভারি দ্রুত এবং ডেটল সাবান নিখুঁত অবস্থায় পেয়েছি।,2,ডেলিভারি দ্রুত এবং ডেটল-B সাবান-I নিখুঁত অবস্থায় পেয়েছি।
155,ডেটল সাবান অরিজিনাল এবং খাঁটি পণ্য।,2,ডেটল-B সাবান-I অরিজিনাল এবং খাঁটি পণ্য।
