id,review,sentiment
53,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
54,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
55,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
56,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
57,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
58,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
59,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
60,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
61,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
62,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
63,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
64,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
65,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
66,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
67,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
68,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
69,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
70,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
71,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
72,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
73,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
74,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
75,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
76,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
77,ফেস ওয়াশ টি হাতে পেয়েছি। মোটামুটি ভালো।,1
78,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
79,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
80,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
81,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
82,"ফেস ওয়াশ ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
83,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
84,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
85,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
86,ফেস ওয়াশ টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
87,ফেস ওয়াশটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
88,ফেস ওয়াশ টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
89,ফেস ওয়াশ টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
90,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
91,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
92,ফেস ওয়াশ অনেক চমৎকার একটা প্রোডাক্ট।,2
93,ফেস ওয়াশ টি খুবই বাজে। একদম ভালো না।,0
94,ফেস ওয়াশ টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
95,ফেস ওয়াশ টি অনেক ভালো! আমি খুবই খুশি।,2
96,ফেস ওয়াশ টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
97,ফেস ওয়াশটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
98,ফেস ওয়াশ এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
99,ফেস ওয়াশ ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
100,ফেস ওয়াশ টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
101,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
102,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
103,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
104,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
105,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
106,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
107,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
108,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
109,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
110,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
111,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
112,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
113,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
114,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
115,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
116,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
117,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
118,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
119,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
120,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
121,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
122,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
123,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
124,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
125,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
126,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
127,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
128,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
129,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
130,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
131,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
132,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
133,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
134,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
135,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
136,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
137,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
138,ডেটল সাবান টি খুবই বাজে। একদম ভালো না।,0
139,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
140,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
141,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
142,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
143,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
144,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
145,ডেটল সাবান টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
146,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
147,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
148,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
149,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
150,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
151,ডেটল সাবান টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
152,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
153,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
154,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
155,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
156,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
157,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
158,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
159,ডেটল সাবান টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
160,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
161,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
162,ডেটল সাবান টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
163,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
164,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
165,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
166,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
167,"ডেটল সাবান ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
168,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
169,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
170,ডেটল সাবান টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
171,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
172,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
173,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
174,ডেটল সাবান টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
175,ডেটল সাবান টি খুবই বাজে। একদম ভালো না।,0
176,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
177,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
178,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
179,ডেটল সাবান টি খুবই বাজে। একদম ভালো না।,0
180,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
181,ডেটল সাবান টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
182,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
183,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
184,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
185,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
186,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
187,ডেটল সাবান টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
188,ডেটল সাবান টি অনেক ভালো! আমি খুবই খুশি।,2
189,ডেটল সাবান টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
190,ডেটল সাবান টি হাতে পেয়েছি। মোটামুটি ভালো।,1
191,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
192,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
193,ডেটল সাবান ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
194,ডেটল সাবান এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
195,ডেটল সাবান টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
196,ডেটল সাবানটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
197,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
198,ডেটল সাবান অনেক চমৎকার একটা প্রোডাক্ট।,2
199,ডেটল সাবানটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
200,ডেটল সাবান টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
201,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
202,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
203,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
204,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
205,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
206,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
207,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
208,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
209,ফেসমাস্ক টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
210,ফেসমাস্ক টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
211,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
212,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
213,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
214,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
215,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
216,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
217,ফেসমাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
218,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
219,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
220,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
221,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
222,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
223,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
224,ফেসমাস্ক টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
225,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
226,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
227,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
228,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
229,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
230,ফেসমাস্ক ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
231,ফেসমাস্ক টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
232,ফেসমাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
233,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
234,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
235,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
236,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
237,ফেসমাস্ক ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
238,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
239,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
240,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
241,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
242,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
243,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
244,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
245,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
246,ফেসমাস্ক ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
247,ফেসমাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
248,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
249,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
250,ফেসমাস্কটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
251,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
252,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
253,ফেসমাস্কটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
254,ফেসমাস্ক ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
255,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
256,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
257,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
258,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
259,ফেসমাস্ক টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
260,ফেসমাস্ক ব্যবহার করে খুব ভালো ফল পেয়েছি। ধন্যবাদ সেলারকে।,2
261,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
262,ফেসমাস্ক টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
263,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
264,ফেসমাস্ক টি যেমন আশা করেছিলাম তেমনই। ঠিকঠাক আছে।,1
265,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
266,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
267,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
268,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
269,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
270,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
271,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
272,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
273,ফেসমাস্কটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
274,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
275,ফেসমাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
276,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
277,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
278,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
279,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
280,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
281,ফেসমাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
282,ফেসমাস্ক টি ডেলিভারি পেয়েছি। ধন্যবাদ।,1
283,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
284,ফেসমাস্ক টি খুব কাজের। দাম অনুযায়ী দারুণ।,2
285,"ফেসমাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
286,ফেসমাস্ক টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
287,ফেসমাস্কটির মেয়াদ শেষ হয়ে গেছে। একেবারেই বাজে সার্ভিস।,0
288,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
289,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
290,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
291,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
292,ফেসমাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
293,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
294,ফেসমাস্ক এর কোয়ালিটি অসাধারণ। সবাই নিতে পারেন।,2
295,ফেসমাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
296,ফেসমাস্ক টি হাতে পেয়েছি। মোটামুটি ভালো।,1
297,ফেসমাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
298,ফেসমাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
299,ফেসমাস্ক টি সম্পর্কে নতুন করে বলার কিছু নেই।,1
300,ফেসমাস্ক টি খুবই বাজে। একদম ভালো না।,0
301,"সেপনিল মাস্ক ব্যবহার করছি, এখনো কোনো মতামত নেই।",1
302,সেপনিল মাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
303,সেপনিল মাস্কটির প্যাকেজিং নষ্ট ছিল। আশা করিনি এমনটা হবে।,0
304,সেপনিল মাস্ক টি কিনে ঠকেছি। খুব খারাপ অভিজ্ঞতা।,0
305,সেপনিল মাস্ক টি অনেক ভালো! আমি খুবই খুশি।,2
306,সেপনিল মাস্ক টি খুবই বাজে। একদম ভালো না।,0
307,সেপনিল মাস্ক অনেক চমৎকার একটা প্রোডাক্ট।,2
308,সেপনিল মাস্ক টি ব্যবহার করে কোনো লাভ হয়নি। মান খুবই নিম্নমানের।,0
